Survey::Survey_Date,Outfall_ID,E. coli at 100ml,Air Temp,Alkalinity,Arrival_Time,Bac Notes,Color,Cond Exceed Tot,Conductivity,Copper,Copper Exceed Tot,DO,DO Exceedance Tot,E. coli Exceed Tot,Enterococcus at 100ml,Flouride,Flow_Rate,Genl_outfall_notes,Hardness,Hydrogen Sulfide,Iron,Lead,Lead Exceed Tot,Manganese,Mercury,Nitrate,Nitrite,Odor,pH,pH Exceed Tot,QCQA,Salinity,Sample Vol ML,Sodium Chloride,Survey_nbr,Temp Exceed Tot,Temp_Difference,Total Chlorine,TotalCount,Turbidity,Turbidity Exceed Tot,UniqueCount,Vis_Notes,Visual,Water Temp,WQ_Notes,YSI Dupe,Zinc,Survey::City
02/03/2021,Broadway St,300,8.89,,,,0,164,247.7,,8,11.13,30,126,,,Present,,,,,,0,,,,,1,7.45,0,YES,0.12,,,BEL210203,175,-0.19,,565,9,6,1.034482759,,0,8.7,,NO,,Bellingham
03/16/2021,Broadway St,60,9.4,,,,0,164,393.1,,8,7.22,30,126,,,Present,,,,,,0,,,,,0,7.3,0,YES,0.19,,,BEL210316,175,-0.4,,565,9,6,1.051724138,,0,9,,NO,,Bellingham
04/15/2021,Broadway St,20,20,,,,0,164,222.8,,8,,30,126,,,Present,,,,,,0,,,,,0,6.84,0,YES,0.11,,,BEL210415,175,-8.6,,565,9,6,1.068965517,,0,11.4,,NO,,Bellingham
04/15/2021,Broadway St,20,20,,,,0,164,393.3,,8,,30,126,,,Present,,,,,,0,,,,,0,6.9,0,YES,0.11,,,BEL210415,175,-9.3,,565,9,6,1.086206897,,0,10.7,,NO,,Bellingham
05/11/2021,Broadway St,40,17.3,,,,0,164,340.7,,8,,30,126,,,Present,,,,,,0,,,,,0,6.96,0,YES,0.16,,,BEL210511,175,-3.4,,565,9,6,1.103448276,,0,13.9,,NO,,Bellingham
06/08/2021,Broadway St,60,22.1,,,,0,164,417.4,,8,9.58,30,126,,,Present,,,,,,0,,,,,0,7,0,YES,0.2,,,BEL210608,175,-7,,565,9,6,1.120689655,,0,15.1,,NO,,Bellingham
07/06/2021,Broadway St,40,22.2,,,,0,164,453.3,,8,8.99,30,126,,,Present,,,,,,0,,,,,0,7.26,0,YES,0.22,,,BEL210706,175,-5,,565,9,6,1.137931034,,0,17.2,,NO,,Bellingham
08/11/2021,Broadway St,20,22.3,,,,0,164,498.1,,8,9.23,30,126,,,Present,,,,,,0,,,,,0,7.09,0,YES,0.24,,,BEL210811,175,-4.2,,565,9,6,1.155172414,,0,18.1,,NO,,Bellingham
09/07/2021,Broadway St,60,16.5,,,,0,164,462.8,,8,9.71,30,126,,,Present,,,,,,0,,,,,0,7.46,0,YES,0.22,,,BEL210907,175,0.7,,565,9,6,1.172413793,,0,17.2,,NO,,Bellingham
10/04/2021,Broadway St,20,14.2,,,,0,164,366.4,,8,9.3,30,126,,,Present,,,,,,0,,,,,0,7.14,0,YES,0.18,,,BEL211004,175,1.8,,565,9,6,1.189655172,,0,16,,NO,,Bellingham
10/04/2021,Broadway St,20,14.2,,,,0,164,361.4,,8,9.12,30,126,,,Present,,,,,,0,,,,,0,7.22,0,YES,0.17,,,BEL211004,175,1.8,,565,9,6,1.206896552,,0,16,,NO,,Bellingham
11/01/2021,Broadway St,120,7.22,,,,0,164,328.8,,8,9.84,30,126,,,Present,,,,,,0,,,,,0,7.57,0,YES,0.16,,,BEL211101,175,5.98,,565,9,6,1.224137931,,0,13.2,,NO,,Bellingham
12/01/2021,Broadway St,600,13.9,,,,1,164,149.2,,8,12.06,30,126,,,Present,,,,,,0,,,,,0,7.26,0,YES,0.07,,,BEL211201,175,-2.2,,565,9,6,1.24137931,,0,11.7,,NO,,Bellingham
12/01/2021,Broadway St,280,13.9,,,,1,164,149.2,,8,11.8,30,126,,,Present,,,,,,0,,,,,0,7.23,0,YES,0.07,,,BEL211201,175,-2.2,,565,9,6,1.25862069,,0,11.7,,NO,,Bellingham
01/13/2022,Broadway St,280,5.5,,,,0,164,276.8,,8,11.76,30,126,,,Present,,,,,,0,,,,,0,7.44,0,YES,0.13,,,BEL220113,175,2.8,,565,9,6,1.275862069,,0,8.3,,NO,,Bellingham
02/24/2022,Broadway St,40,3,,,,0,164,789,,8,11.21,30,126,,,Present,,,,,,0,,,,,0,7.77,0,YES,0.39,,,BEL220224,175,5,,565,9,6,1.293103448,,0,8,,NO,,Bellingham
03/24/2022,Broadway St,100,15.2,,,,0,164,273.9,,8,11.75,30,126,,,Present,,,,,,0,,,,,0,7.45,0,YES,0.13,,,BEL220324,175,-5.7,,565,9,6,1.310344828,,0,9.5,,NO,,Bellingham
04/18/2022,Broadway St,20,13.7,,,,0,164,347.8,,8,10.66,30,126,,,Present,,,,,,0,,,,,0,7.52,0,YES,0.17,,,BEL220418,175,-3.2,,565,9,6,1.327586207,,1,10.5,,NO,,Bellingham
05/18/2022,Broadway St,480,12.2,,,,1,164,224.9,,8,10.39,30,126,,,Present,,,,,,0,,,,,0,7.93,0,YES,0.11,,,BEL220518,175,0.1,,565,9,6,1.344827586,,1,12.3,,NO,,Bellingham
